poi_id,poi_name,day_int,day_name,hour,crowd_score,crowd_level,source,retrieved_at
P01,Solo Paragon Lifestyle Mall,0,Monday,6,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,7,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,8,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,9,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,10,25,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,11,35,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,12,40,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,13,45,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,14,50,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,15,50,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,16,55,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,17,60,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,18,60,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,19,65,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,20,60,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,21,45,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,22,30,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,23,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,0,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,1,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,2,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,3,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,4,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,0,Monday,5,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,6,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,7,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,8,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,9,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,10,25,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,11,35,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,12,40,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,13,45,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,14,50,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,15,50,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,16,55,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,17,60,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,18,65,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,19,65,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,20,60,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,21,50,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,22,35,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,23,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,0,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,1,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,2,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,3,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,4,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,1,Tuesday,5,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,6,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,7,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,8,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,9,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,10,25,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,11,35,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,12,40,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,13,45,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,14,50,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,15,55,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,16,60,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,17,65,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,18,70,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,19,70,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,20,65,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,21,55,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,22,35,medium,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,23,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,0,0,low,BestTime,2026-06-07T21:43:22
P01,Solo Paragon Lifestyle Mall,2,Wednesday,1,0,low,BestTime,2026-06-07T21:43:22
