poi_id,poi_name,status_code,message,venue_info,retrieved_at
P05,Pasar Klewer,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""Pasar Klewer"", ""address"": ""Surakarta, Central Java, Indonesia""}",2026-06-07T21:43:22
P08,Kampung Batik Laweyan,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""Kampung Batik Laweyan"", ""address"": ""Surakarta, Central Java, Indonesia""}",2026-06-07T21:43:22
P10,Pura Mangkunegaran,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""Pura Mangkunegaran"", ""address"": ""Surakarta, Central Java, Indonesia""}",2026-06-07T21:43:22
P11,Keraton Surakarta Hadiningrat,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""Keraton Surakarta Hadiningrat"", ""address"": ""Surakarta, Central Java, Indonesia""}",2026-06-07T21:43:22
P12,Museum Radya Pustaka,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""Museum Radya Pustaka"", ""address"": ""Surakarta, Central Java, Indonesia""}",2026-06-07T21:43:22
P13,Solo Square,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""Solo Square"", ""address"": ""Surakarta, Central Java, Indonesia""}",2026-06-22T07:53:24
P14,Hartono Mall Solo,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""Hartono Mall Solo"", ""address"": ""Sukoharjo, Central Java, Indonesia""}",2026-06-22T07:53:24
P15,Beteng Trade Center,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""Beteng Trade Center"", ""address"": ""Surakarta, Central Java, Indonesia""}",2026-06-22T07:53:24
P16,Solo Technopark,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""Solo Technopark"", ""address"": ""Surakarta, Central Java, Indonesia""}",2026-06-22T07:53:24
P17,De Tjolomadoe,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""De Tjolomadoe"", ""address"": ""Karanganyar, Central Java, Indonesia""}",2026-06-22T07:53:24
P18,Pandawa Water World,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""Pandawa Water World"", ""address"": ""Sukoharjo, Central Java, Indonesia""}",2026-06-22T07:53:24
P19,Taman Satwa Taru Jurug,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""Taman Satwa Taru Jurug"", ""address"": ""Surakarta, Central Java, Indonesia""}",2026-06-22T07:53:24
P20,The Heritage Palace,404,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.","{""venue_name"": ""The Heritage Palace"", ""address"": ""Sukoharjo, Central Java, Indonesia""}",2026-06-22T07:53:24
